"object_id","term_taxonomy_id","term_order"
"1","1","0"
"38","17","0"
"38","18","0"
"38","19","0"
"38","20","0"
"38","23","0"
"38","25","0"
"38","26","0"
"38","29","0"
"40","16","0"
"40","17","0"
"40","18","0"
"40","19","0"
"40","21","0"
"40","23","0"
"42","17","0"
"42","18","0"
"42","19","0"
"42","21","0"
"42","23","0"
"44","16","0"
"44","17","0"
"44","20","0"
"44","22","0"
"44","23","0"
"52","18","0"
"52","19","0"
"52","20","0"
"52","22","0"
"52","23","0"
"54","17","0"
"54","18","0"
"54","20","0"
"54","23","0"
"54","27","0"
"56","18","0"
"56","19","0"
"56","20","0"
"56","23","0"
"56","29","0"
"58","16","0"
"58","17","0"
"58","18","0"
"58","22","0"
"58","23","0"
"58","29","0"
"60","16","0"
"60","17","0"
"60","18","0"
"60","19","0"
"60","22","0"
"60","23","0"
"62","16","0"
"62","19","0"
"62","20","0"
"62","22","0"
"62","23","0"
"62","24","0"
"106","2","0"
"106","33","0"
"106","35","0"
"106","36","0"
"106","41","0"
"107","2","0"
"107","33","0"
"107","35","0"
"107","36","0"
"107","41","0"
"107","42","0"
"107","45","0"
"107","46","0"
"108","2","0"
"108","9","0"
"108","14","0"
"108","32","0"
"108","33","0"
"108","35","0"
"108","36","0"
"108","37","0"
"108","41","0"
"108","44","0"
"109","2","0"
"109","33","0"
"109","35","0"
"109","36","0"
"109","41","0"
"110","2","0"
"110","33","0"
"110","41","0"
"110","45","0"
"110","46","0"
"112","2","0"
"112","35","0"
"112","36","0"
"112","41","0"
"113","2","0"
"113","33","0"
"113","35","0"
"113","36","0"
"113","41","0"
"113","42","0"
"276","38","0"
"279","38","0"
"818","51","0"
"819","51","0"
"820","51","0"
"831","17","0"
"831","18","0"
"831","23","0"
"831","28","0"
"831","29","0"
"832","48","0"
"842","48","0"
"845","48","0"
"846","49","0"
"847","49","0"
"972","2","0"
"972","41","0"
"1007","48","0"
"1008","48","0"
"1124","48","0"
